AREACD,AREANM,Abigail,Ada,Aisha,Alice,Amber,Amelia,Amelie,Anna,Annabelle,Arabella,Aria,Aurora,Ava,Ayla,Beatrice,Bella,Bonnie,Charlotte,Chloe,Clara,Daisy,Darcie,Delilah,Edith,Eleanor,Eliza,Elizabeth,Ella,Ellie,Elsie,Emilia,Emily,Emma,Erin,Esme,Eva,Evelyn,Evie,Felicity,Florence,Francesca,Freya,Georgia,Grace,Gracie,Hallie,Hannah,Harper,Harriet,Heidi,Holly,Imogen,Iris,Isabella,Isabelle,Isla,Ivy,Jasmine,Jessica,Layla,Lilly,Lily,Lola,Lottie,Lucy,Luna,Lyla,Maisie,Margot,Maria,Martha,Maryam,Matilda,Maya,Mia,Mila,Millie,Molly,Nancy,Olivia,Orla,Penelope,Phoebe,Poppy,Robyn,Rose,Rosie,Ruby,Sara,Scarlett,Sienna,Sofia,Sophia,Sophie,Summer,Thea,Violet,Willow,Zara,Zoe,Total,
E07000141,South Kesteven,,4,,8,,8,,,,3,,3,4,,,,,7,,,4,4,6,,,,4,7,,5,,10,,3,3,6,5,3,,5,,,,9,,,,5,3,,3,,3,8,,10,3,,4,,3,3,,3,3,4,,3,,,,,6,3,3,3,,,3,9,,3,,8,,3,8,6,,,,3,4,,,,,6,3,,571,
E07000142,West Lindsey,,,,,,6,,,,,,3,8,,,,,5,,,,,,3,3,,,3,5,6,,3,,5,,3,3,,3,5,,4,,3,,3,,6,,,,3,,4,9,,6,,,,,,,3,,,,4,,,,,5,,4,,,,3,9,,,4,7,,3,,,,,,,,3,,,,3,,,419,
E07000143,Breckland,,4,,,,9,,,4,,,,6,,,,,4,,,7,,5,,,5,3,4,,4,3,4,4,3,5,,3,3,,6,,4,,11,,,,4,,,,3,,6,6,10,4,,,4,,,,,,,3,,,,3,,6,,12,3,5,,3,17,,,3,7,,,5,8,,5,4,,4,4,,3,,7,,3,662,
E07000144,Broadland,,,,8,,5,,,,,,,11,,,3,,6,5,,7,,4,3,,6,,3,3,9,,4,,4,4,,5,6,,3,,3,,11,,,,,3,,3,3,,,5,7,3,,5,,,6,4,,,,,,,,,,4,,5,,3,7,,10,,,9,8,3,,3,5,,,7,,8,8,,,3,5,,,554,
E07000145,Great Yarmouth,,,,,,7,,,,,,3,4,,,,,3,,,4,4,3,,,,,6,,,,,,,,,4,,,5,,4,,,,,,3,,,,,,7,,6,,,3,,,5,,,3,,3,,,3,,,,,,5,4,,,5,,,5,5,,,6,4,,3,4,3,7,,4,,,6,,,495,
E07000146,King's Lynn and West Norfolk,,,,7,,5,,3,,,,,4,,,4,4,,3,,5,3,4,,3,,,6,,10,6,9,,3,,4,5,6,,,,3,,7,3,,,4,,,3,,,4,5,9,7,,,,,6,,,,,,4,,,3,,7,3,5,,,,,13,,,6,3,4,,7,4,,4,,,,8,,4,3,10,,,682,
E07000147,North Norfolk,,,,,,4,,,,,,,,,,4,,4,,,4,3,,,,,,3,,,,4,,,,3,5,6,,6,,4,,4,,,,,,,,3,,,,5,6,,,,,4,4,3,,,,,,,,,,,,,,,,5,,,6,,,,,,,,,,3,,,3,,4,,,341,
E07000148,Norwich,,,,3,,11,,3,,,4,,10,4,,3,,3,5,,4,5,3,,,,,5,,5,,4,,,6,4,9,5,,4,,5,,8,,,6,4,5,,,4,3,,,4,9,,8,,,6,6,,,,,,,,,,4,3,8,4,3,,3,7,,,5,7,,5,8,5,,,,,10,4,5,,,5,,,765,
E07000149,South Norfolk,,4,,6,,7,,4,,,5,,6,,3,5,,4,,,4,,,,,,,7,,,4,9,,5,7,,7,6,,9,,3,,7,,3,,,4,3,,,,11,8,14,7,,3,,,6,,,,,,,,,4,,5,,10,,,3,,10,,3,4,5,3,5,4,5,,5,3,6,4,6,,,,8,,,606,
E07000150,Corby,,,,4,,7,3,,,,,,3,,,,,4,,,3,,,3,,,,4,,4,5,4,,,4,,,5,,3,,,,,,,,3,3,,,,,,4,,,3,7,3,,,,,,,,,,,,,,3,7,,4,,,4,,4,4,5,,,3,,,,,5,8,3,,,,6,,,449,
E07000151,Daventry,,,,5,4,5,4,,3,3,4,,,,,3,,4,,,4,,,3,,,,5,,9,4,3,,3,3,5,3,5,,8,,,4,,,,,5,,,,3,,7,,3,4,,3,,,,,,,4,,5,,,,,4,,4,,,4,,12,,,,,,,,4,,,,3,5,6,,,4,,,,461,
E07000152,East Northamptonshire,,,,,,6,,,,,,,,,,,,6,,3,4,,,,,,,4,,5,,3,,,,,10,4,,,,,,6,,,,7,,,,4,,,,9,3,,9,3,,5,3,3,3,4,,,,,,,3,,8,,3,,,6,,,5,5,,,,,,5,,,6,3,,,3,,,,453,
E07000153,Kettering,,,,5,,9,3,,,,,,7,,,,3,,4,,3,3,,,,,,5,,9,,,,,5,,8,,,5,,5,,6,,3,3,7,,,,,,8,6,3,4,,4,3,,3,,,,,,3,,,,,3,,6,7,,3,,9,,,3,,,3,,3,,5,5,,,5,,,,4,,,556,
E07000154,Northampton,4,,,5,,29,,,,4,7,6,4,,4,6,3,7,7,3,8,3,3,,,3,8,11,5,6,5,10,5,5,5,7,9,8,,10,,8,,11,4,,3,13,5,,4,3,4,11,6,5,6,,10,4,3,12,3,,3,,,3,,7,,,3,7,17,3,4,6,3,21,3,5,8,12,,5,,,5,7,5,11,12,13,,3,,3,3,,1500,
E07000155,South Northamptonshire,,,,3,,4,,,3,,,,6,,,,,5,4,3,5,,,,,,,3,3,3,,7,3,,,4,,3,,7,,4,3,,,,,,,,,,,7,4,7,,,7,3,3,6,,,3,,,,,,,,,3,,,,3,,9,,,6,3,3,,3,,,,5,,3,5,,,,,,,431,
E07000156,Wellingborough,,,,4,,6,4,,,,3,,8,,,,,,,,,,,,,,4,6,3,,,5,4,,,3,,,,6,,,,,,,,4,3,,,,,4,4,5,,,,,,3,,,,,,,,3,,,,,8,4,,,,5,,,3,,,,,,,,3,,,,4,,,,,,448,
E07000163,Craven,,,,4,,,,,,,,,,,,,,,,,,,,3,,,,,,,3,6,,,,,5,,,4,,,,3,,,,,,,,,,4,,,,,,,,3,3,,,,,,,,,,3,,3,,,,,9,,3,3,4,,,,,,,,,,,,,,,,,239,
E07000164,Hambleton,,4,,6,3,6,,,,,,,6,,,,,3,,,5,,,4,4,4,,,,3,,8,,,,3,7,,,4,,,,4,,,3,,,,,3,,,,7,5,,,,,8,,,3,,,6,,,,,,,,,,,4,10,,3,,3,,,,3,,4,,,,,,,,,,,338,
E07000165,Harrogate,,5,,6,3,9,3,,9,,,,8,,4,,5,8,5,3,5,,4,4,5,3,,3,,10,4,7,,5,3,8,8,5,,6,,5,,12,,3,4,,,3,4,4,,7,,5,5,,7,,4,5,,,3,4,,5,3,,4,,10,,5,,,3,,6,4,,5,4,4,4,3,4,,3,,6,3,8,,,3,5,,,658,
E07000166,Richmondshire,,3,,,,,,,,,,,,,3,,,6,,,3,,,,,,,,,,3,,,,4,,,,,,,3,,,,,,,,,,,,,3,,,,,,,3,3,,4,,,,,,,,,,,,3,,,5,,,,,,,,,,,,,,,,,,,,,232,
E07000167,Ryedale,,,,,,,,,,,,,,,,,,3,,,,,,3,,3,3,3,,3,,3,,,,,,,,,,3,,4,,,3,,,,,,,,,,,,,,,,,,,,,,,,4,,3,,,,,,,5,,,6,,,,,,,,,,,,,,,5,,,218,
E07000168,Scarborough,,,,7,,6,,,,,,,3,,,,,5,5,,5,,,,,,,3,3,6,,6,,,,,,3,,5,,,,,,,,7,,,,3,,8,5,8,,,5,,4,3,,,3,,,4,,,,,6,,3,,,,3,5,,,3,7,3,,4,,,3,,,5,,,,,4,,,442,
E07000169,Selby,,3,,3,,5,,,,,,,4,,,,,12,3,,6,,,,5,6,,6,,,3,3,,,,,6,4,,,,4,,3,,,,,,3,3,,3,4,,7,,3,3,5,,6,,,3,,,,,,,,4,,,,,5,,9,,4,,3,,,,,,5,6,,4,6,,,3,,,,419,
E07000170,Ashfield,,3,,3,,11,4,3,,,3,,13,,,,,,,,4,,,,,3,,5,,5,,4,,3,4,3,6,6,3,3,,4,,5,4,,,9,,,,3,,5,5,4,5,3,6,7,3,,4,8,,3,,,,,,,3,4,6,,3,,4,13,,,4,5,,,7,,,,,3,,6,,5,,8,,,619,
E07000171,Bassetlaw,,3,,4,3,7,,,5,,4,,6,,,4,,7,4,,,,,,4,,5,,,7,,5,,,,,5,5,,3,,5,,3,,,,6,,3,4,4,,4,3,4,3,,3,,6,,4,,3,,,,,,,,,,,,,,3,7,,3,,5,,,6,7,,8,5,3,,4,,,,5,,,568,
E07000172,Broxtowe,5,,,3,,5,,,,,,,5,,,,,,,4,,,,,5,4,,4,,4,3,9,4,,,3,4,,,7,,3,3,,,,,,,,,5,,,,8,4,,7,,3,10,3,,,,,4,,,,,8,,4,3,,,,17,,,4,,4,4,3,5,,,4,4,4,9,3,,,4,,3,547,
E07000173,Gedling,,,,4,,,,,3,,,,5,,,,,3,5,,5,,,,,,,8,,6,3,8,,6,4,7,,4,,5,,3,,7,3,3,,8,4,3,,,,5,,6,8,,,,,,,,,,,,,,,,5,,5,3,3,,3,15,,5,6,8,,,3,,,,,4,5,7,3,,,3,,,531,
E07000174,Mansfield,,,,4,,13,3,,,,,3,6,,,,3,,,,5,,,,,,3,3,3,,3,5,,3,,5,4,,,,,3,3,6,,,,7,5,,,,,6,4,6,,,,,4,,,,,,,,,,,,,,11,,5,,,7,,,3,6,,,,,,,3,,6,,,,4,5,,,551,
E07000175,Newark and Sherwood,,4,,6,3,5,,,,,,,3,,,,,7,,3,4,,3,,3,5,,6,,7,3,5,,,,,3,3,,4,,5,3,3,4,,,6,6,3,,7,,,,5,4,,3,3,3,3,,,4,,,,,,4,,6,,5,,3,,,6,,4,3,4,,,7,,,3,,,,3,,,5,3,,,559,
E07000176,Rushcliffe,,4,,5,,3,3,,3,,,,4,,,3,,7,3,,8,,,3,4,,,,,5,,6,,3,3,3,7,3,,7,,,,10,3,,,,,,,4,3,4,,6,4,,4,,,4,,,3,6,,3,4,,,,5,,,,4,,,7,,3,9,6,,,,5,,,3,,3,5,,,,4,,,502,
E07000177,Cherwell,,3,,5,,12,3,,6,,,,12,,,3,,7,3,,9,3,5,,,4,,,,5,9,8,,,,,7,6,,10,,4,3,6,,,,7,8,,3,3,,13,5,5,10,,6,6,,3,,,3,4,,,,,5,,3,,10,,4,3,,6,5,,6,7,,,5,4,4,,9,3,8,7,,3,3,6,3,,808,
E07000178,Oxford,,4,5,4,,14,,5,,,3,,6,,,,,5,,5,,4,,,7,,5,,,,3,8,,,,,3,,,3,,4,,6,,,5,5,4,,3,,,9,5,4,4,,,,,6,,,,4,,,,3,,3,3,5,4,,3,,,6,3,,,,,4,3,4,,,3,6,5,3,,6,,,,,810,
E07000179,South Oxfordshire,,,,7,,5,,5,3,3,,,,,,6,,8,3,,3,,4,3,,3,6,5,,5,10,7,4,,4,,3,7,4,11,,5,3,7,,3,,4,6,3,,6,,5,,11,6,,4,,,,6,,,4,,,3,,,,5,,5,3,,3,5,15,,,11,4,5,4,,7,,,,7,5,7,3,3,3,,,3,667,
E07000180,Vale of White Horse,,3,,7,,3,3,4,,,4,,3,,5,5,,9,7,,4,,,3,,3,,3,,5,7,6,,5,5,3,8,10,,5,3,6,3,4,,,,3,5,4,,5,,10,3,6,4,3,3,,,4,,3,4,,,,,,,,4,,7,4,6,3,,13,3,,5,9,,,6,,,5,,6,7,3,,,,6,,,704,
E07000181,West Oxfordshire,,,,5,,4,,,,,,,5,,6,,,3,3,,3,,3,,5,5,4,4,,3,,10,4,,,,4,4,,12,,7,3,7,3,,,3,4,,,5,3,7,5,5,5,,6,,,4,3,,,,,,,,,,10,,3,,,,,10,5,,6,5,4,,5,,,4,3,,,10,,,,5,,,507,
E07000187,Mendip,,4,,3,,4,,,,,4,,3,,,,4,5,4,,,,,,,,3,7,,6,5,7,,,3,,6,8,,8,,,,3,3,,,,,3,,8,3,6,4,6,3,,5,,,5,3,5,,6,,4,3,,,,4,3,,3,3,,,8,,,3,7,4,,3,9,,,3,,5,,,4,3,3,,,562,
E07000188,Sedgemoor,,4,,3,,7,,,3,,,,,,,4,4,3,,,5,,,,,,,6,,6,6,5,,,,,3,3,,9,,4,,,,,,6,3,,3,,,4,7,3,5,,,5,,3,,,,4,,5,,,4,,3,,,3,5,,,7,,,6,,,,5,,,3,3,,,,,,3,5,,,516,
E07000189,South Somerset,3,,,7,,14,5,4,,,5,,12,3,,,4,8,,,9,5,,,5,3,,16,,8,4,6,,,3,3,10,6,,7,,5,,5,,3,,6,4,,6,3,,10,8,6,4,3,4,,,5,,,4,3,,8,,3,,,8,,8,,7,3,,13,,,3,11,4,4,6,6,,3,,4,6,7,3,,7,9,,,790,
E07000192,Cannock Chase,,,,3,,5,,,3,,3,,6,,,,4,5,,,8,,,,4,,,4,,5,,3,,6,7,,3,9,,9,,6,7,8,,,,6,,,4,,,4,,3,4,,3,,3,5,,,,,,3,3,,,,,,7,3,4,3,3,10,,3,5,6,,,4,3,,,6,,3,3,,,,,,3,507,
E07000193,East Staffordshire,,3,,,,9,,,,3,3,,4,,3,,,7,,,,,,,,,,4,,3,5,10,,,5,,7,5,,,4,3,,3,,,3,4,4,,3,4,,8,4,5,3,,3,,,4,,,3,,,,,,,,4,,8,,3,,7,7,,,,5,,,,,,,,8,5,,,,,6,3,,635,
E07000194,Lichfield,,,,5,,4,,,,,,,5,,,,3,4,,,4,,,,,,,,,,,9,,3,,,3,4,,4,,4,,5,,,,4,6,,6,,,,,7,6,,,3,3,3,,4,,,,5,,,,,,,10,,4,,,12,,,4,3,,,,3,,,3,4,,3,,,,4,,,435,
E07000195,Newcastle-under-Lyme,,,,7,,8,,,3,,,,7,,,,4,3,,,5,3,3,,5,,,7,,6,,5,,,3,3,,6,,7,,9,,7,,,,4,,,3,,,7,,5,8,,3,6,,7,3,4,4,3,,,,,,,3,,,,4,4,,17,,3,8,5,,,6,,,,6,3,3,,,,,3,,,580,
E07000196,South Staffordshire,,,,3,,6,,,,,,,8,,6,,,3,3,,8,,,3,,,,3,,4,,5,,,,3,3,4,,,,4,,6,4,,,4,,,,4,,,5,10,6,,3,3,,6,,3,,,,3,,,,,3,3,5,,,4,6,4,,,4,4,,4,,7,,,6,,8,5,,,,6,,,469,
E07000197,Stafford,3,4,,5,,,,,,,6,,12,,,,3,,,3,5,,,,,3,3,4,4,5,,4,,,4,5,9,7,,8,,6,4,9,3,,,6,,,6,3,,,4,8,5,,3,,3,,,,,,,,,,,,4,,4,,3,5,,18,,6,9,9,,5,4,4,,3,3,4,3,8,,6,3,5,,,641,
E07000198,Staffordshire Moorlands,,4,,5,,,,,,,,,10,,,,,3,,,9,,,,,,,9,,3,,,,,,,7,,,6,,4,,5,,,,,4,,,3,,4,5,8,,,,,,,,,,,,,,,,,,,,3,,,3,7,4,3,5,,,,5,,,,3,,3,3,,,,7,,,415,
E07000199,Tamworth,,,,4,,8,,,,,,,4,,,3,,5,,,4,,,,,,,7,5,5,,5,,,,,5,7,,3,,6,,6,,,,3,,,,,,7,6,,3,,,,,6,3,3,4,,,3,,,,,,4,4,,5,,,7,,,,,,,3,4,,6,,4,3,,,,,8,,,444,
E07000200,Babergh,,,,4,,6,,,,,,,4,,,,3,5,3,,10,,,,,,,4,,6,,4,,,,,4,3,3,5,,,,,,,,6,,,,,,,4,,3,3,,3,,,3,,,,,5,,,,,,,,,,,,4,,5,4,,3,,5,,,,5,,,,,5,,4,,,338,
E07000202,Ipswich,,,,,,14,,,,,4,6,8,,,3,,5,,,4,,,,5,,,9,,4,6,12,,4,4,5,3,8,,7,,3,,4,4,,,7,,,4,4,3,6,6,8,8,,3,,,11,5,,,8,,3,,6,3,,6,3,9,3,5,6,3,9,,3,6,,,7,7,6,4,5,3,6,4,3,,,,5,,,856,
E07000203,Mid Suffolk,,,,4,,6,,,,,,,,,,,,3,5,,,,3,,,6,,4,,4,4,3,,3,,,,3,,9,,3,,4,,,,6,,,,,,,,6,5,,,,,,,3,,3,,,,,,,,,4,,3,4,,10,3,4,3,5,,4,,,,4,5,,5,,,3,,6,,,421,
E07000207,Elmbridge,,,,3,,8,4,,,3,,,13,,4,,3,11,4,,,,,,7,3,4,5,,7,4,12,4,4,3,4,,3,,3,,8,4,7,3,,,,,,4,3,,9,4,7,7,,9,,,17,,,3,3,3,,,,,,6,4,8,,,7,3,13,4,3,8,9,,3,5,5,,6,8,4,14,8,,,,3,,3,763,
E07000208,Epsom and Ewell,,,,3,,6,,,,,,,5,3,,,,,6,3,,,,,,3,,5,,,3,5,4,4,,,3,,,4,,5,,4,,,,,,,,,,7,,4,,,5,,,3,3,,4,,,3,,,,,,5,,,,,3,6,,,,4,,,,3,,,,6,3,5,,4,,,,,439,
E07000209,Guildford,,,,6,,5,4,,4,4,5,,8,,,,,3,3,,,,,,6,3,3,6,4,3,4,9,3,,6,,5,8,,8,5,5,3,,,,,,,,,10,,6,11,6,4,3,4,,,7,,3,,,,5,4,3,,,4,3,6,5,,,3,11,,,,3,,3,5,,3,3,6,4,4,5,3,6,,7,6,,664,
E07000210,Mole Valley,,,,3,3,,3,,,,,3,,,,6,,3,4,,,,,,,,,3,,,,5,,3,,,4,7,3,5,,3,,4,,,3,,3,,3,3,,,4,4,3,,8,3,3,,4,,,,,,,,,,,,5,,,6,,8,,,,5,,,,,,,,,5,4,,,,4,,,383,
E07000211,Reigate and Banstead,,3,3,6,3,10,8,,4,4,,,12,,,4,,9,5,,6,3,,,3,4,,5,,3,5,9,5,,3,4,7,5,,,,6,3,8,,,3,6,3,,,6,,7,4,4,11,3,8,3,3,4,,6,,,3,3,4,,,,3,3,7,3,5,6,5,15,3,4,11,6,,,,3,,,4,5,6,11,,5,,4,4,,847,
E07000212,Runnymede,,,,8,,4,,,,3,,,7,,,,,4,6,,,,,,,,3,,,3,4,8,,3,3,,,5,,3,,4,,5,,,3,4,,,,,,3,3,5,5,,,,,,,3,,,,,,,,,5,,6,,,4,,8,,3,,,,,5,,,,3,4,,5,,4,,4,,,467,
E07000213,Spelthorne,,,,5,,11,,,,3,,3,7,,,,,,3,,,,3,,,6,4,3,,3,3,3,,,,6,4,6,,7,,5,,9,,,,,,,3,4,3,5,5,6,4,3,7,,,3,,,,4,,,,,,,5,,5,5,4,,,9,,,7,4,,3,5,5,,,4,3,,3,,4,,,4,,602,
E07000214,Surrey Heath,,,,5,,4,,,,,,,3,,,,,,,,3,,,,,,,5,,3,,7,,,,,5,4,,,,5,,6,,,,3,3,,,3,,3,,5,,,5,,,,,,,,,,,,,,,,5,,,,,6,,,,3,,3,3,,,,7,,4,5,,,3,,3,,378,
E07000215,Tandridge,,,,,3,6,,,,,,,9,,,,3,4,4,,7,,3,,,,4,3,,3,5,5,,,4,,6,3,,9,,3,,7,,,,4,,,4,4,,4,,10,8,3,,,,7,,,,,,,,,,,3,,,5,,,,9,,,3,3,3,5,3,4,,,5,4,5,4,,4,,6,,,480,
E07000216,Waverley,,,,4,,4,,,,3,3,,5,,5,,,10,5,4,6,,,5,5,,5,,3,5,3,6,,3,,5,4,6,3,7,3,,3,8,,,,,3,3,3,3,,4,5,9,3,,4,3,,5,3,,,,,4,4,,,,6,,,,5,,,13,,5,4,5,,,,,,,,3,3,3,3,4,3,,,,548,
E07000217,Woking,3,3,,3,,10,,,5,3,,,7,,,,,7,5,,,,,,,,5,5,3,,3,9,5,,,3,,4,,,,4,,7,,,4,,,,,4,,6,7,5,4,,3,,,,3,,,,,,,3,,,6,4,10,,4,,,14,,,,,,,4,,,3,5,6,4,5,,,,,5,,620,
E07000218,North Warwickshire,,,,4,,,,,,,,3,5,,,,,3,,,3,,3,,,3,,3,,4,,3,,,,,,5,,,,,,,,,,5,,,,,,3,3,3,5,,3,,,7,,,,,,,,,,,3,,,,,,,4,,,,,,,4,,,,,,3,,,,,5,,,322,
E07000219,Nuneaton and Bedworth,,,,4,4,6,,,,3,3,3,8,,,4,,6,5,,4,3,,,,,,10,3,7,3,,,4,3,,5,5,4,4,,,,4,4,,,8,,,4,3,,,,12,,,7,,3,6,,7,,4,4,,,,,,,,5,,6,,,15,,,3,4,,,7,6,,3,9,3,4,6,,,,10,,,788,
E07000220,Rugby,,3,,3,3,13,,,,,4,,9,,,,,3,,,,,,4,,,,6,5,4,4,7,,,,,4,3,,6,,5,,5,,,,3,5,,3,4,,7,5,5,4,,4,,,5,,,,,,4,,,,,,,4,,,,,12,4,,,3,,,4,3,,,,3,3,4,,,,3,,,590,
E07000221,Stratford-on-Avon,,4,,5,,8,,,,3,,,3,,,,,6,3,,5,,,,4,5,3,6,3,,4,5,3,3,4,3,3,,,11,,4,,5,,,,,7,,,6,3,4,5,10,4,,6,,,5,,,,,3,5,,,,,5,,3,,,4,,9,,4,4,6,3,,4,,,,,4,11,,,,4,5,,,511,
E07000222,Warwick,,3,,11,,5,3,3,,,3,,10,,3,,,7,6,,,,,,4,,,5,,6,5,3,,4,3,6,3,4,,5,,8,,4,,,,5,4,3,,4,3,9,4,14,7,3,4,,,13,,,,,,,,,,,,5,3,4,4,3,,9,3,3,4,4,,,3,6,,,10,,9,6,,,,3,,,671,
E07000223,Adur,,,,3,,,,,,,,,3,,,,3,,,,,,,,,,,,,,3,3,,3,,,4,5,3,,,,,6,,3,,,4,,3,4,,3,,4,4,,,,,5,,,,,,,,,,,3,,3,,,,,10,,,,,,,,,,,4,,,,,,,,,,316,
E07000224,Arun,3,,,,,13,,,,3,5,3,4,,,4,,6,4,,4,,3,,,,,11,3,4,3,7,4,3,,3,8,6,,7,,3,6,7,,,,3,,,4,,,7,3,10,9,,3,4,,5,,,3,7,,3,3,,,,4,3,13,,7,5,,18,,3,7,6,,3,3,5,,3,6,3,9,6,3,,,8,,,715,
E07000225,Chichester,,3,,8,3,7,,,,,,,7,,,,,,,,5,,4,,,5,,4,,3,3,3,,4,,4,3,3,,5,,,3,6,,,,,3,,,,,,3,7,3,,7,,,7,3,,5,,,,,,,,4,3,6,,,,4,6,5,,3,6,,,6,5,,,,,6,,,,5,5,,3,488,
E07000226,Crawley,,,,,3,16,,,,,,,9,4,,,,6,5,3,,,,,,,3,5,,,,8,8,,3,3,10,7,,,,,,3,,,,4,,,,3,,9,4,8,8,,10,,,,,,,5,,5,,4,,4,4,4,8,,3,,,11,,4,,7,,3,6,,,6,6,7,4,6,3,3,,7,,,745,
E07000227,Horsham,3,,,7,3,11,,,,3,,,10,,,,6,9,4,3,3,,,,,4,,4,,5,,13,,3,4,,,4,,4,,,,3,,,,8,3,3,,,,16,8,9,6,,5,4,,9,,5,,5,,5,3,,,,5,,11,,3,4,,16,,6,6,7,,,4,3,,3,5,,6,7,4,,3,6,,,642,
E07000228,Mid Sussex,5,,,8,4,7,4,,,4,,,9,,,3,,4,11,3,,,,,3,4,,4,3,3,3,11,3,3,6,3,4,9,3,9,,8,3,9,,,,4,5,4,5,8,,4,10,6,13,3,6,,,6,,,,,,,,,,,5,4,7,,6,3,,8,,4,4,10,6,5,5,3,,6,4,8,12,5,4,5,,11,5,,731,
E07000229,Worthing,,,,6,,8,,,,,3,,10,3,,5,,4,7,,7,,,,5,3,,6,3,8,,,,,5,3,3,4,,7,,6,,4,,,,6,,,,3,,7,3,5,5,3,3,4,3,3,,,,4,,3,,,,,5,,3,,,3,,12,3,4,5,7,,,4,,,,3,,7,4,3,3,3,10,3,,585,
E07000234,Bromsgrove,,,,,,4,,,3,,,,4,,,,,3,,4,,,,,3,,3,4,,7,4,8,,4,3,,6,6,3,3,3,5,4,5,,,,,,,,,,5,5,6,3,,3,,3,7,,5,3,,,,,,,,4,,,,,4,,,,5,3,11,5,5,3,,,3,4,,,,,,,,,,465,
E07000235,Malvern Hills,,,,4,,5,,,5,,,,4,,,,,,5,,,,,,,,,5,,,,,,3,,,5,,,3,,,,5,,,,,4,,,,,,,,4,,4,3,,3,,,,,,,,,,,3,,,,,,,6,4,,3,,,,,,,,,,,,,,,3,,,288,
E07000236,Redditch,,,,4,,6,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,3,,5,5,,5,,,,4,,,,,,,,,,3,3,5,3,,,,,,,,5,,3,,,,,,6,5,3,,,3,,14,,,5,3,3,,3,4,,4,,,,4,,,,3,,,461,
E07000237,Worcester,3,,,5,,13,,,,,,,7,,,4,4,4,6,3,5,,,3,5,,,5,,4,,5,4,3,4,7,,,,7,,,,5,,,,4,,,,,,6,3,8,5,,5,3,3,4,,,,,,,,,,,,,6,,3,,,7,,5,7,6,4,3,3,3,,3,5,,7,7,4,6,,6,,,564,
E07000238,Wychavon,3,,,4,,6,,4,,,,,10,,4,,3,6,,,3,,,,3,,,5,,4,3,,,3,6,4,3,4,,12,,4,,,,,,3,5,,4,5,,5,5,10,4,,3,,,9,,,,3,,,,3,3,,3,4,6,,,3,3,16,,3,4,8,,,5,6,,4,,3,4,5,3,,,7,,,554,
E07000239,Wyre Forest,,,,3,,18,,,,,3,,6,,,,,3,,,4,3,,,,,,3,4,4,,4,,6,3,,,6,3,,,5,4,10,,,,4,3,,,,,,4,4,,,4,,3,8,9,3,3,,,,,,,,3,3,,3,4,3,,7,,,4,6,,4,4,,,3,5,,,,,4,4,3,,,498,
E07000240,St Albans,,5,,7,,,4,3,3,4,4,,6,3,,3,3,17,4,4,4,,,,5,,4,7,3,5,9,10,4,4,,8,8,5,3,9,,5,4,13,,,4,,5,3,,4,,7,7,8,7,,3,,,9,4,,,,3,4,3,,,4,7,4,7,4,,,5,10,4,,5,6,,7,6,6,,8,7,5,7,10,,,4,4,,,834,
E07000241,Welwyn Hatfield,3,,,4,,9,,,,,5,,9,,,,,6,3,,5,3,,,,,4,7,,4,,4,4,,3,5,3,4,,6,,6,,5,4,5,,5,5,,,5,,9,4,8,5,,4,4,,4,,3,3,,,,,3,,,,3,5,3,,3,,10,,,5,9,,,,5,,,9,5,7,7,4,,,,,3,667,
E07000242,East Hertfordshire,,4,,9,,16,,,3,,,,6,,,6,,8,4,,8,,,3,8,,5,4,6,7,,5,5,7,3,5,3,8,,10,,7,,9,,,,,3,,4,5,3,9,3,10,6,3,5,,,13,,,5,4,,4,4,3,,,5,5,13,,7,3,4,11,,9,7,8,,3,6,9,,7,10,5,9,7,,4,3,7,3,,800,
E07000243,Stevenage,,,,,,10,,,,,4,,4,,,5,,5,3,,9,4,,,,,,5,3,4,4,5,,,4,,7,,,6,,5,,3,,,,5,,,,,,4,5,10,5,,,,,4,,,,,,,,,,,,3,3,,,4,3,13,,,4,4,,,4,8,,3,,4,,,3,3,,5,,,565,
E07000244,East Suffolk,,3,,5,4,14,4,,3,,,,8,,,5,4,6,5,,7,3,4,,,4,3,9,3,7,6,7,,3,3,8,6,12,,11,,10,3,6,4,,,,,,6,7,,6,4,10,16,,7,5,,11,4,5,,4,3,9,4,,5,,8,,9,4,,,,23,,4,8,11,4,,5,12,,,11,6,11,6,,,,12,,3,979,
E07000245,West Suffolk,,,,7,,14,,4,4,5,,,13,,3,5,,13,3,6,11,,,4,8,4,,7,4,5,5,13,6,,6,3,11,9,,8,4,7,5,8,,3,3,6,5,,,,,5,3,8,10,,3,,4,6,5,,5,4,4,7,3,,,,6,,12,4,5,4,,20,,,4,5,,5,5,3,,3,8,4,7,6,,3,4,9,4,3,1030,
E07000246,Somerset West and Taunton,,,,5,,13,4,,,,4,,5,,,3,7,8,,,5,3,3,3,4,3,,5,,5,4,5,5,5,3,,3,4,,13,,4,,,6,,,10,,,,3,4,4,3,7,8,5,,7,4,7,,,,4,,8,3,,3,,11,,,,3,4,,13,,3,3,6,,4,12,4,,6,,,7,,,,6,7,,,745,
